"Öncelik";"Tür";"URL";"Başlık";"Not";"Gönderim tarihi";"Durum"
"1";"Ana sayfa";"https://cbinsaat.com/";"CB İnşaat | Malatya Elektrik, Sıhhi Tesisat ve İnşaat";"En kritik sayfa";"";""
"1";"Hub";"https://cbinsaat.com/hizmetler/";"Hizmetler";"74 hizmete iç link dağıtır";"";""
"1";"Hub";"https://cbinsaat.com/bolgeler/";"Hizmet bölgeleri";"13 ilçe + mahallelere link dağıtır";"";""
"1";"Hub";"https://cbinsaat.com/blog/";"Blog";"100 yazıya link dağıtır";"";""
"1";"Hub";"https://cbinsaat.com/fiyatlar/";"Fiyatlar";"Fiyat aramalarının giriş kapısı";"";""
"1";"Hub";"https://cbinsaat.com/projeler/";"Tamamlanan projeler";"Referans ve güven sayfası";"";""
"1";"Dönüşüm";"https://cbinsaat.com/teklif/";"Ücretsiz keşif ve teklif";"Form sayfası";"";""
"1";"Dönüşüm";"https://cbinsaat.com/iletisim/";"İletişim";"NAP bilgisi, yerel SEO için önemli";"";""
"1";"Kurumsal";"https://cbinsaat.com/hakkimizda/";"Hakkımızda";"E-E-A-T sinyali";"";""
"1";"Kurumsal";"https://cbinsaat.com/sss/";"Sık sorulan sorular";"FAQPage şeması";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/anahtar-teslim-tadilat/";"Anahtar Teslim Tadilat hizmetleri";"11 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/anahtar-teslim-yapim/";"Anahtar Teslim Yapım hizmetleri";"8 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/elektrik/";"Elektrik hizmetleri";"12 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/su-ve-tesisat/";"Su ve Tesisat hizmetleri";"7 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/dogalgaz/";"Doğalgaz hizmetleri";"4 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/pompa-ve-sulama/";"Pompa ve Sulama hizmetleri";"8 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/mutfak-ve-banyo/";"Mutfak ve Banyo hizmetleri";"4 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/ticari-tadilat/";"Ticari Tadilat hizmetleri";"3 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/kaba-insaat/";"Kaba İnşaat hizmetleri";"3 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/ince-insaat/";"İnce İnşaat hizmetleri";"7 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/cati-ve-dis-cephe/";"Çatı ve Dış Cephe hizmetleri";"4 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/bahce-ve-cevre/";"Bahçe ve Çevre hizmetleri";"2 hizmete link dağıtır";"";""
"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/proje-yonetimi/";"Proje Yönetimi hizmetleri";"1 hizmete link dağıtır";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/anahtar-teslim-tadilat/";"Anahtar Teslim Tadilat";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/daire-tadilati/";"Daire Tadilatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/eski-ev-tadilati/";"Eski Ev Tadilatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/mutfak-tadilati/";"Mutfak Tadilatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/banyo-tadilati/";"Banyo Tadilatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/deprem-sonrasi-tadilat/";"Deprem Sonrası İç Mekân Yenileme";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/anahtar-teslim-daire/";"Anahtar Teslim Daire";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/bina-tesisat-yenileme/";"Bina Tesisat Yenileme";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/anahtar-teslim-sulama-sistemi/";"Anahtar Teslim Sulama Sistemi";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/kayisi-bahcesi-sulama/";"Kayısı Bahçesi Sulama Sistemi";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/sera-elektrik-sulama/";"Sera Elektrik ve Sulama Sistemi";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/anahtar-teslim-is-yeri/";"Anahtar Teslim İş Yeri";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/anahtar-teslim-insaat/";"Anahtar Teslim İnşaat";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/komple-ev-tadilati/";"Komple Ev Tadilatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/elektrik-tesisati/";"Elektrik Tesisatı";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/elektrik-ariza/";"Elektrik Arıza";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/avize-aydinlatma/";"Avize ve Aydınlatma";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/elektrik-panosu/";"Elektrik Panosu";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/kamera-guvenlik-sistemleri/";"Kamera ve Güvenlik Sistemleri";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/uzaktan-kumanda-otomasyon/";"Uzaktan Kumanda ve Otomasyon";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/sihhi-tesisat/";"Sıhhi Tesisat";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/su-kacagi-tespiti/";"Su Kaçağı Tespiti";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/tikali-gider-acma/";"Tıkalı Gider Açma";"Öne çıkan hizmet";"";""
"1";"Ana hizmet";"https://cbinsaat.com/hizmetler/hidrofor-tamiri/";"Hidrofor Tamiri";"Öne çıkan hizmet";"";""
