"Gün";"Tarih";"Haftanın günü";"Sıra";"Öncelik";"Tür";"URL";"Başlık";"Gönderildi mi"
"1";"09.08.2026";"Pazar";"1";"1";"Ana sayfa";"https://cbinsaat.com/";"CB İnşaat | Malatya Elektrik, Sıhhi Tesisat ve İnşaat";""
"1";"09.08.2026";"Pazar";"2";"1";"Hub";"https://cbinsaat.com/hizmetler/";"Hizmetler";""
"1";"09.08.2026";"Pazar";"3";"1";"Hub";"https://cbinsaat.com/bolgeler/";"Hizmet bölgeleri";""
"1";"09.08.2026";"Pazar";"4";"1";"Hub";"https://cbinsaat.com/blog/";"Blog";""
"1";"09.08.2026";"Pazar";"5";"1";"Hub";"https://cbinsaat.com/fiyatlar/";"Fiyatlar";""
"1";"09.08.2026";"Pazar";"6";"1";"Hub";"https://cbinsaat.com/projeler/";"Tamamlanan projeler";""
"1";"09.08.2026";"Pazar";"7";"1";"Dönüşüm";"https://cbinsaat.com/teklif/";"Ücretsiz keşif ve teklif";""
"1";"09.08.2026";"Pazar";"8";"1";"Dönüşüm";"https://cbinsaat.com/iletisim/";"İletişim";""
"1";"09.08.2026";"Pazar";"9";"1";"Kurumsal";"https://cbinsaat.com/hakkimizda/";"Hakkımızda";""
"1";"09.08.2026";"Pazar";"10";"1";"Kurumsal";"https://cbinsaat.com/sss/";"Sık sorulan sorular";""
"2";"10.08.2026";"Pazartesi";"1";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/anahtar-teslim-tadilat/";"Anahtar Teslim Tadilat hizmetleri";""
"2";"10.08.2026";"Pazartesi";"2";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/anahtar-teslim-yapim/";"Anahtar Teslim Yapım hizmetleri";""
"2";"10.08.2026";"Pazartesi";"3";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/elektrik/";"Elektrik hizmetleri";""
"2";"10.08.2026";"Pazartesi";"4";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/su-ve-tesisat/";"Su ve Tesisat hizmetleri";""
"2";"10.08.2026";"Pazartesi";"5";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/dogalgaz/";"Doğalgaz hizmetleri";""
"2";"10.08.2026";"Pazartesi";"6";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/pompa-ve-sulama/";"Pompa ve Sulama hizmetleri";""
"2";"10.08.2026";"Pazartesi";"7";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/mutfak-ve-banyo/";"Mutfak ve Banyo hizmetleri";""
"2";"10.08.2026";"Pazartesi";"8";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/ticari-tadilat/";"Ticari Tadilat hizmetleri";""
"2";"10.08.2026";"Pazartesi";"9";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/kaba-insaat/";"Kaba İnşaat hizmetleri";""
"2";"10.08.2026";"Pazartesi";"10";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/ince-insaat/";"İnce İnşaat hizmetleri";""
"3";"11.08.2026";"Salı";"1";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/cati-ve-dis-cephe/";"Çatı ve Dış Cephe hizmetleri";""
"3";"11.08.2026";"Salı";"2";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/bahce-ve-cevre/";"Bahçe ve Çevre hizmetleri";""
"3";"11.08.2026";"Salı";"3";"1";"Hizmet alanı";"https://cbinsaat.com/hizmetler/alan/proje-yonetimi/";"Proje Yönetimi hizmetleri";""
