"Belediye";"Tur"
"Malatya Büyükşehir Belediyesi";"Büyükşehir Belediyesi"
"Akçadağ Belediyesi";"Büyükşehir İlçe Belediyesi"
"Arapgir Belediyesi";"Büyükşehir İlçe Belediyesi"
"Arguvan Belediyesi";"Büyükşehir İlçe Belediyesi"
"Battalgazi Belediyesi";"Büyükşehir İlçe Belediyesi"
"Darende Belediyesi";"Büyükşehir İlçe Belediyesi"
"Doğanşehir Belediyesi";"Büyükşehir İlçe Belediyesi"
"Doğanyol Belediyesi";"Büyükşehir İlçe Belediyesi"
"Hekimhan Belediyesi";"Büyükşehir İlçe Belediyesi"
"Kale Belediyesi";"Büyükşehir İlçe Belediyesi"
"Kuluncak Belediyesi";"Büyükşehir İlçe Belediyesi"
"Pütürge Belediyesi";"Büyükşehir İlçe Belediyesi"
"Yazıhan Belediyesi";"Büyükşehir İlçe Belediyesi"
"Yeşilyurt Belediyesi";"Büyükşehir İlçe Belediyesi"
