"EskiBaglilik";"Belde";"BugunkuIlce";"TarihiStatu";"SeoKonumIfadesi"
"Merkez";"Beydağı";"Battalgazi";"Eski belde/kasaba belediyesi";"Beydağı Battalgazi Malatya"
"Merkez";"Dilek";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Dilek Yeşilyurt Malatya"
"Merkez";"Erenli";"Battalgazi";"Eski belde/kasaba belediyesi";"Erenli Battalgazi Malatya"
"Merkez";"Hanımınçiftliği";"Battalgazi";"Eski belde/kasaba belediyesi";"Hanımınçiftliği Battalgazi Malatya"
"Merkez";"Orduzu";"Battalgazi";"Eski belde/kasaba belediyesi";"Orduzu Battalgazi Malatya"
"Merkez";"Topsöğüt";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Topsöğüt Yeşilyurt Malatya"
"Merkez";"Şahnahan";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Şahnahan Yeşilyurt Malatya"
"Merkez";"Yaygın";"Battalgazi";"Eski belde/kasaba belediyesi";"Yaygın Battalgazi Malatya"
"Akçadağ";"Bahri";"Akçadağ";"Eski belde/kasaba belediyesi";"Bahri Akçadağ Malatya"
"Akçadağ";"Kozluca";"Akçadağ";"Eski belde/kasaba belediyesi";"Kozluca Akçadağ Malatya"
"Akçadağ";"Ören";"Akçadağ";"Eski belde/kasaba belediyesi";"Ören Akçadağ Malatya"
"Battalgazi";"Hasırcılar";"Battalgazi";"Eski belde/kasaba belediyesi";"Hasırcılar Battalgazi Malatya"
"Battalgazi";"Hatunsuyu";"Battalgazi";"Eski belde/kasaba belediyesi";"Hatunsuyu Battalgazi Malatya"
"Darende";"Ağılbaşı";"Darende";"Eski belde/kasaba belediyesi";"Ağılbaşı Darende Malatya"
"Darende";"Aşağı Ulupınar";"Darende";"Eski belde/kasaba belediyesi";"Aşağı Ulupınar Darende Malatya"
"Darende";"Ayvalı";"Darende";"Eski belde/kasaba belediyesi";"Ayvalı Darende Malatya"
"Darende";"Balaban";"Darende";"Eski belde/kasaba belediyesi";"Balaban Darende Malatya"
"Darende";"Ilıca";"Darende";"Eski belde/kasaba belediyesi";"Ilıca Darende Malatya"
"Darende";"Yenice";"Darende";"Eski belde/kasaba belediyesi";"Yenice Darende Malatya"
"Doğanşehir";"Erkenek";"Doğanşehir";"Eski belde/kasaba belediyesi";"Erkenek Doğanşehir Malatya"
"Doğanşehir";"Gövdeli";"Doğanşehir";"Eski belde/kasaba belediyesi";"Gövdeli Doğanşehir Malatya"
"Doğanşehir";"Polat";"Doğanşehir";"Eski belde/kasaba belediyesi";"Polat Doğanşehir Malatya"
"Doğanşehir";"Söğüt";"Doğanşehir";"Eski belde/kasaba belediyesi";"Söğüt Doğanşehir Malatya"
"Doğanşehir";"Sürgü";"Doğanşehir";"Eski belde/kasaba belediyesi";"Sürgü Doğanşehir Malatya"
"Doğanşehir";"Kurucaova";"Doğanşehir";"Eski belde/kasaba belediyesi";"Kurucaova Doğanşehir Malatya"
"Doğanyol";"Gökçe";"Doğanyol";"Eski belde/kasaba belediyesi";"Gökçe Doğanyol Malatya"
"Hekimhan";"Güzelyurt";"Hekimhan";"Eski belde/kasaba belediyesi";"Güzelyurt Hekimhan Malatya"
"Hekimhan";"Hasançelebi";"Hekimhan";"Eski belde/kasaba belediyesi";"Hasançelebi Hekimhan Malatya"
"Hekimhan";"Kocaözü";"Hekimhan";"Eski belde/kasaba belediyesi";"Kocaözü Hekimhan Malatya"
"Hekimhan";"Kurşunlu";"Hekimhan";"Eski belde/kasaba belediyesi";"Kurşunlu Hekimhan Malatya"
"Hekimhan";"Girmana";"Hekimhan";"Eski belde/kasaba belediyesi";"Girmana Hekimhan Malatya"
"Kuluncak";"Sofular";"Kuluncak";"Eski belde/kasaba belediyesi";"Sofular Kuluncak Malatya"
"Pütürge";"Nohutlu";"Pütürge";"Eski belde/kasaba belediyesi";"Nohutlu Pütürge Malatya"
"Pütürge";"Tepehan";"Pütürge";"Eski belde/kasaba belediyesi";"Tepehan Pütürge Malatya"
"Yazıhan";"Durucasu";"Yazıhan";"Eski belde/kasaba belediyesi";"Durucasu Yazıhan Malatya"
"Yazıhan";"Fethiye";"Yazıhan";"Eski belde/kasaba belediyesi";"Fethiye Yazıhan Malatya"
"Yeşilyurt";"Bostanbaşı";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Bostanbaşı Yeşilyurt Malatya"
"Yeşilyurt";"Gündüzbey";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Gündüzbey Yeşilyurt Malatya"
"Yeşilyurt";"Yakınca";"Yeşilyurt";"Eski belde/kasaba belediyesi";"Yakınca Yeşilyurt Malatya"
