"EskiBaglilik";"EskiStatu";"Yerlesim";"BugunkuIlce";"SeoKonumIfadesi"
"Malatya Merkez";"Köy";"Bindal";"Yeşilyurt";"Bindal Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Duranlar";"Yeşilyurt";"Duranlar Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Duruldu";"Yeşilyurt";"Duruldu Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Fatih";"Yeşilyurt";"Fatih Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Göktarla";"Yeşilyurt";"Göktarla Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Karahan";"Yeşilyurt";"Karahan Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Kendirli";"Yeşilyurt";"Kendirli Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Kırkpınar";"Yeşilyurt";"Kırkpınar Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Mahmutlu";"Yeşilyurt";"Mahmutlu Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Özal";"Yeşilyurt";"Özal Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Samanköy";"Yeşilyurt";"Samanköy Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Suluköy";"Yeşilyurt";"Suluköy Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Sütlüce";"Yeşilyurt";"Sütlüce Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Tepeköy";"Yeşilyurt";"Tepeköy Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Tohma";"Yeşilyurt";"Tohma Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Topraktepe";"Yeşilyurt";"Topraktepe Yeşilyurt Malatya"
"Malatya Merkez";"Köy";"Bağtepe";"Battalgazi";"Bağtepe Battalgazi Malatya"
"Malatya Merkez";"Köy";"Bulgurlu";"Battalgazi";"Bulgurlu Battalgazi Malatya"
"Malatya Merkez";"Köy";"Çamurlu";"Battalgazi";"Çamurlu Battalgazi Malatya"
"Malatya Merkez";"Köy";"Fırıncı";"Battalgazi";"Fırıncı Battalgazi Malatya"
"Malatya Merkez";"Köy";"Göller";"Battalgazi";"Göller Battalgazi Malatya"
"Malatya Merkez";"Köy";"Hacıhaliloğluçiftliği";"Battalgazi";"Hacıhaliloğluçiftliği Battalgazi Malatya"
"Malatya Merkez";"Köy";"Karagöz";"Battalgazi";"Karagöz Battalgazi Malatya"
"Malatya Merkez";"Köy";"Karakaşçiftliği";"Battalgazi";"Karakaşçiftliği Battalgazi Malatya"
"Malatya Merkez";"Köy";"Karaköy";"Battalgazi";"Karaköy Battalgazi Malatya"
"Malatya Merkez";"Köy";"Üzümlü";"Battalgazi";"Üzümlü Battalgazi Malatya"
"Malatya Merkez";"Köy";"Alhanuşağı";"Battalgazi";"Alhanuşağı Battalgazi Malatya"
"Malatya Merkez";"Köy";"Bulutlu";"Battalgazi";"Bulutlu Battalgazi Malatya"
"Malatya Merkez";"Köy";"Çolaklı";"Battalgazi";"Çolaklı Battalgazi Malatya"
"Malatya Merkez";"Köy";"Düzyol";"Battalgazi";"Düzyol Battalgazi Malatya"
"Malatya Merkez";"Köy";"Gülümuşağı";"Battalgazi";"Gülümuşağı Battalgazi Malatya"
"Malatya Merkez";"Köy";"Hacıyusuflar";"Battalgazi";"Hacıyusuflar Battalgazi Malatya"
"Malatya Merkez";"Köy";"Hisartepe";"Battalgazi";"Hisartepe Battalgazi Malatya"
"Malatya Merkez";"Köy";"Kamıştaş";"Battalgazi";"Kamıştaş Battalgazi Malatya"
"Malatya Merkez";"Köy";"Kapıkaya";"Battalgazi";"Kapıkaya Battalgazi Malatya"
"Malatya Merkez";"Köy";"Karatepe";"Battalgazi";"Karatepe Battalgazi Malatya"
"Malatya Merkez";"Köy";"Merdivenler";"Battalgazi";"Merdivenler Battalgazi Malatya"
"Malatya Merkez";"Köy";"Pelitli";"Battalgazi";"Pelitli Battalgazi Malatya"
"Malatya Merkez";"Köy";"Selvidağ";"Battalgazi";"Selvidağ Battalgazi Malatya"
"Malatya Merkez";"Köy";"Tanışık";"Battalgazi";"Tanışık Battalgazi Malatya"
"Malatya Merkez";"Köy";"Tokluca";"Battalgazi";"Tokluca Battalgazi Malatya"
"Malatya Merkez";"Köy";"Uluköy";"Battalgazi";"Uluköy Battalgazi Malatya"
"Malatya Merkez";"Köy";"Yenice";"Battalgazi";"Yenice Battalgazi Malatya"
"Malatya Merkez";"Köy";"Yeniköy";"Battalgazi";"Yeniköy Battalgazi Malatya"
