"Ilce";"Yerlesim";"HaritaStatu";"KayitSayisi";"SeoKonumIfadesi";"Dogrulama"
"Arapgir";"Aduşağı";"Mezra/hamlet adayı";"1";"Aduşağı Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Ağaç";"Mezra/hamlet adayı";"1";"Ağaç Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Alanli";"Mezra/hamlet adayı";"1";"Alanli Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Aydoğdu";"Mezra/hamlet adayı";"1";"Aydoğdu Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Bahçeler";"Mezra/hamlet adayı";"1";"Bahçeler Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Ballıca";"Mezra/hamlet adayı";"2";"Ballıca Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Beygirli";"Mezra/hamlet adayı";"1";"Beygirli Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Bulgurlu";"Mezra/hamlet adayı";"1";"Bulgurlu Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Dilo";"Mezra/hamlet adayı";"1";"Dilo Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Dişterik";"Mezra/hamlet adayı";"1";"Dişterik Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Hacı Uşağı";"Mezra/hamlet adayı";"1";"Hacı Uşağı Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Haraç";"Mezra/hamlet adayı";"1";"Haraç Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Harpuzik";"Mezra/hamlet adayı";"1";"Harpuzik Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"İlyas Kâhya";"Mezra/hamlet adayı";"1";"İlyas Kâhya Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"İn";"Mezra/hamlet adayı";"1";"İn Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Kalınharman";"Mezra/hamlet adayı";"1";"Kalınharman Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Kayalısu Çiftliği";"Mezra/hamlet adayı";"1";"Kayalısu Çiftliği Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Kebir Uşağı";"Mezra/hamlet adayı";"1";"Kebir Uşağı Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Kozer Çiftliği";"Mezra/hamlet adayı";"1";"Kozer Çiftliği Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Levenge";"Mezra/hamlet adayı";"1";"Levenge Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Mehmetuşağı";"Mezra/hamlet adayı";"1";"Mehmetuşağı Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Rutop";"Mezra/hamlet adayı";"1";"Rutop Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Suceyin";"Mezra/hamlet adayı";"1";"Suceyin Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
"Arapgir";"Tanışa";"Mezra/hamlet adayı";"1";"Tanışa Arapgir Malatya";"Resmî olmayan harita kaydı; yerel doğrulama gerekli"
