MALATYA GÜNCEL İLÇE VE MAHALLELERİ
=================================

[Akçadağ]
Aksaray Mahallesi, Akçadağ, Malatya
Aksüt Mahallesi, Akçadağ, Malatya
Aktepe Mahallesi, Akçadağ, Malatya
Aliçeri Mahallesi, Akçadağ, Malatya
Altunlu Mahallesi, Akçadağ, Malatya
Ancar Mahallesi, Akçadağ, Malatya
Aşağıörükçü Mahallesi, Akçadağ, Malatya
Aydınlar Mahallesi, Akçadağ, Malatya
Bağköy Mahallesi, Akçadağ, Malatya
Bahri Mahallesi, Akçadağ, Malatya
Başpınar Mahallesi, Akçadağ, Malatya
Bayramuşağı Mahallesi, Akçadağ, Malatya
Bekiruşağı Mahallesi, Akçadağ, Malatya
Bölüklü Mahallesi, Akçadağ, Malatya
Büyükçimiş Mahallesi, Akçadağ, Malatya
Büyükköy Mahallesi, Akçadağ, Malatya
Çakıllıpınar Mahallesi, Akçadağ, Malatya
Çatalbahçe Mahallesi, Akçadağ, Malatya
Çevirme Mahallesi, Akçadağ, Malatya
Çobanuşağı Mahallesi, Akçadağ, Malatya
Darıca Mahallesi, Akçadağ, Malatya
Dedeköy Mahallesi, Akçadağ, Malatya
Demirciler Mahallesi, Akçadağ, Malatya
Develi Mahallesi, Akçadağ, Malatya
Doğanlar Mahallesi, Akçadağ, Malatya
Doğantepe Mahallesi, Akçadağ, Malatya
Doğu Mahallesi, Akçadağ, Malatya
Durulova Mahallesi, Akçadağ, Malatya
Dutlu Mahallesi, Akçadağ, Malatya
Dümüklü Mahallesi, Akçadağ, Malatya
Eğin Mahallesi, Akçadağ, Malatya
Esenbey Mahallesi, Akçadağ, Malatya
Esenli Mahallesi, Akçadağ, Malatya
Fatih Mahallesi, Akçadağ, Malatya
Gölpınar Mahallesi, Akçadağ, Malatya
Güneşli Mahallesi, Akçadağ, Malatya
Gürkaynak Mahallesi, Akçadağ, Malatya
Hançerli Mahallesi, Akçadağ, Malatya
Hartut Mahallesi, Akçadağ, Malatya
Harunuşağı Mahallesi, Akçadağ, Malatya
Ilıcak Mahallesi, Akçadağ, Malatya
İkinciler Mahallesi, Akçadağ, Malatya
Kadıibrahim Mahallesi, Akçadağ, Malatya
Kahyalı Mahallesi, Akçadağ, Malatya
Karamağara Mahallesi, Akçadağ, Malatya
Karapınar Mahallesi, Akçadağ, Malatya
Kasımuşağı Mahallesi, Akçadağ, Malatya
Kayadibi Mahallesi, Akçadağ, Malatya
Keklikpınar Mahallesi, Akçadağ, Malatya
Keller Mahallesi, Akçadağ, Malatya
Kepez Mahallesi, Akçadağ, Malatya
Kolköy Mahallesi, Akçadağ, Malatya
Kotangölü Mahallesi, Akçadağ, Malatya
Kozluca Mahallesi, Akçadağ, Malatya
Kömekavak Mahallesi, Akçadağ, Malatya
Kurtuşağı Mahallesi, Akçadağ, Malatya
Küçükkürne Mahallesi, Akçadağ, Malatya
Kültür Mahallesi, Akçadağ, Malatya
Levent Mahallesi, Akçadağ, Malatya
Mezra Mahallesi, Akçadağ, Malatya
Mihmanlı Mahallesi, Akçadağ, Malatya
Muratlı Mahallesi, Akçadağ, Malatya
Ortaköy Mahallesi, Akçadağ, Malatya
Ören Mahallesi, Akçadağ, Malatya
Resuluşağı Mahallesi, Akçadağ, Malatya
Sahilköy Mahallesi, Akçadağ, Malatya
Sakalıuzun Mahallesi, Akçadağ, Malatya
Sarıhacı Mahallesi, Akçadağ, Malatya
Şeyhler Mahallesi, Akçadağ, Malatya
Taşevler Mahallesi, Akçadağ, Malatya
Taşolar Mahallesi, Akçadağ, Malatya
Tataruşağı Mahallesi, Akçadağ, Malatya
Yağmurlu Mahallesi, Akçadağ, Malatya
Yalınbudak Mahallesi, Akçadağ, Malatya
Yalınkaya Mahallesi, Akçadağ, Malatya
Yaylımlı Mahallesi, Akçadağ, Malatya
Yukarıörükçü Mahallesi, Akçadağ, Malatya

[Arapgir]
Aktaş Mahallesi, Arapgir, Malatya
